site id,run id,chamber id,date,time,co2[ppm],h2o avg[ppm],n2o avg [ppb],status,pair[kpa]
qut-cotton1,04082025_1200,1,04/08/2025,12:00:06,446.135,13566.7,339.963,0,-0.06
qut-cotton1,04082025_1200,1,04/08/2025,12:00:07,446.064,13566.1,339.804,0,-0.06
qut-cotton1,04082025_1200,1,04/08/2025,12:00:08,445.831,13565.6,339.538,0,-0.11
qut-cotton1,04082025_1200,1,04/08/2025,12:00:09,445.568,13566.6,339.516,0,-0.08
qut-cotton1,04082025_1200,1,04/08/2025,12:00:10,445.28,13567.4,339.428,0,-0.08
qut-cotton1,04082025_1200,1,04/08/2025,12:00:11,445.603,13568,339.671,0,-0.06
qut-cotton1,04082025_1200,1,04/08/2025,12:00:12,445.495,13567.3,339.506,0,-0.08
qut-cotton1,04082025_1200,1,04/08/2025,12:00:13,445.919,13567.6,339.716,0,-0.06
qut-cotton1,04082025_1200,1,04/08/2025,12:00:14,445.441,13568.6,339.883,0,-0.08
qut-cotton1,04082025_1200,1,04/08/2025,12:00:15,446.074,13568.9,339.821,0,-0.06
qut-cotton1,04082025_1200,1,04/08/2025,12:00:16,446.276,13569,340.077,0,-0.06
qut-cotton1,04082025_1200,1,04/08/2025,12:00:17,445.566,13569.8,339.648,0,-0.08
qut-cotton1,04082025_1200,1,04/08/2025,12:00:18,445.376,13570.3,339.69,0,-0.06
qut-cotton1,04082025_1200,1,04/08/2025,12:00:19,445.46,13568.9,339.631,0,-0.08
qut-cotton1,04082025_1200,1,04/08/2025,12:00:20,445.782,13569.3,339.767,0,-0.06
qut-cotton1,04082025_1200,1,04/08/2025,12:00:21,446.052,13569.8,340.106,0,-0.06
qut-cotton1,04082025_1200,1,04/08/2025,12:00:22,444.95,13568.5,339.495,0,-0.06
qut-cotton1,04082025_1200,1,04/08/2025,12:00:23,445.4,13570.1,339.89,0,-0.06
qut-cotton1,04082025_1200,1,04/08/2025,12:00:24,445.527,13570.4,339.596,0,-0.08
qut-cotton1,04082025_1200,1,04/08/2025,12:00:25,445.577,13570.7,339.57,0,-0.08
qut-cotton1,04082025_1200,1,04/08/2025,12:00:26,445.548,13569.9,339.514,0,-0.06
qut-cotton1,04082025_1200,1,04/08/2025,12:00:27,445.835,13571,339.526,0,-0.08
qut-cotton1,04082025_1200,1,04/08/2025,12:00:28,445.572,13570.9,339.645,0,-0.06
qut-cotton1,04082025_1200,1,04/08/2025,12:00:29,445.543,13571.4,339.469,0,-0.08
qut-cotton1,04082025_1200,1,04/08/2025,12:00:30,445.362,13572.3,339.496,0,-0.06
qut-cotton1,04082025_1200,1,04/08/2025,12:00:31,446.373,13572.5,339.75,0,-0.06
qut-cotton1,04082025_1200,1,04/08/2025,12:00:32,445.409,13572.3,339.999,0,-0.08
qut-cotton1,04082025_1200,1,04/08/2025,12:00:33,445.963,13571.7,339.779,0,-0.06
qut-cotton1,04082025_1200,1,04/08/2025,12:00:34,445.83,13569.8,339.707,0,-0.06
qut-cotton1,04082025_1200,1,04/08/2025,12:00:35,445.268,13568.9,339.225,0,-0.06
qut-cotton1,04082025_1200,1,04/08/2025,12:00:36,445.239,13569.2,339.299,0,-0.06
qut-cotton1,04082025_1200,1,04/08/2025,12:00:37,445.682,13570.5,339.615,0,-0.03
qut-cotton1,04082025_1200,1,04/08/2025,12:00:38,445.483,13571,339.457,0,-0.06
qut-cotton1,04082025_1200,1,04/08/2025,12:00:39,445.47,13573.2,339.509,0,-0.08
qut-cotton1,04082025_1200,1,04/08/2025,12:00:40,447.023,13588,340.854,0,-0.03
qut-cotton1,04082025_1200,1,04/08/2025,12:00:41,452.19,13608,344.901,0,-0.06
qut-cotton1,04082025_1200,1,04/08/2025,12:00:42,458.969,13583.1,350.146,0,-0.03
qut-cotton1,04082025_1200,1,04/08/2025,12:00:43,466.606,13556.5,358.248,0,-0.06
qut-cotton1,04082025_1200,1,04/08/2025,12:00:44,474.197,13601.4,366.106,0,-0.06
qut-cotton1,04082025_1200,1,04/08/2025,12:00:45,481.561,14066,367.37,0,-0.06
qut-cotton1,04082025_1200,1,04/08/2025,12:00:46,485.225,15355.1,362.612,0,-0.06
qut-cotton1,04082025_1200,1,04/08/2025,12:00:47,471.609,16825,352.718,0,-0.03
qut-cotton1,04082025_1200,1,04/08/2025,12:00:48,458.591,17625.8,345.514,0,-0.03
qut-cotton1,04082025_1200,1,04/08/2025,12:00:49,451.759,17776.1,342.26,0,-0.03
qut-cotton1,04082025_1200,1,04/08/2025,12:00:50,450.182,17581.2,340.902,0,-0.03
qut-cotton1,04082025_1200,1,04/08/2025,12:00:51,449.568,17246.1,340.416,0,-0.03
qut-cotton1,04082025_1200,1,04/08/2025,12:00:52,448.724,16870.6,340.466,0,-0.06
qut-cotton1,04082025_1200,1,04/08/2025,12:00:53,448.617,16503.9,339.92,0,-0.03
qut-cotton1,04082025_1200,1,04/08/2025,12:00:54,448.563,16166.3,339.743,0,-0.03
qut-cotton1,04082025_1200,1,04/08/2025,12:00:55,449.482,15869.5,340.323,0,-0.00
qut-cotton1,04082025_1200,1,04/08/2025,12:00:56,449.786,15608.6,340.218,0,-0.00
qut-cotton1,04082025_1200,1,04/08/2025,12:00:57,449.548,15382.6,340.036,0,-0.03
qut-cotton1,04082025_1200,1,04/08/2025,12:00:58,448.726,15185.8,339.701,0,-0.00
qut-cotton1,04082025_1200,1,04/08/2025,12:00:59,448.481,15017.8,339.641,0,-0.03
qut-cotton1,04082025_1200,1,04/08/2025,12:01:00,448.908,14872.7,339.777,0,-0.00
qut-cotton1,04082025_1200,1,04/08/2025,12:01:01,449.115,14747.8,339.733,0,-0.03
qut-cotton1,04082025_1200,1,04/08/2025,12:01:02,449.024,14640.8,339.736,0,-0.03
qut-cotton1,04082025_1200,1,04/08/2025,12:01:03,449.191,14548.7,339.907,0,-0.03
qut-cotton1,04082025_1200,1,04/08/2025,12:01:04,449.013,14467.8,339.874,0,-0.03
qut-cotton1,04082025_1200,1,04/08/2025,12:01:05,448.967,14396.5,339.757,0,-0.03
qut-cotton1,04082025_1200,1,04/08/2025,12:01:06,448.382,14333.4,339.352,0,-0.00
qut-cotton1,04082025_1200,1,04/08/2025,12:01:07,448.611,14279,339.603,0,-0.03
qut-cotton1,04082025_1200,1,04/08/2025,12:01:08,448.629,14230.1,339.557,0,-0.03
qut-cotton1,04082025_1200,1,04/08/2025,12:01:09,448.801,14186.2,339.48,0,-0.00
qut-cotton1,04082025_1200,1,04/08/2025,12:01:10,448.85,14146.6,339.425,0,-0.03
qut-cotton1,04082025_1200,1,04/08/2025,12:01:11,448.548,14111.6,339.704,0,-0.06
qut-cotton1,04082025_1200,1,04/08/2025,12:01:12,448.074,14079.6,339.415,0,-0.00
