date,time,chamber,h2o avg[ppm],n2o avg [ppm],pcavitytamb[kpa],tcavity[degC],plaser[kpa],tlaser[degC],status
24/03/2025,20:00:06,1021,23820.0,348.367,39.84,55.00,28.65,38.15,0
24/03/2025,20:00:11,1021,24693.6,350.287,39.84,55.00,28.63,38.15,0
24/03/2025,20:00:16,1021,24826.7,349.695,39.84,55.00,28.64,38.15,0
24/03/2025,20:00:21,1021,24743.0,350.133,39.84,55.00,28.65,38.15,0
24/03/2025,20:00:26,1021,24686.4,350.807,39.84,55.00,28.65,38.15,0
24/03/2025,20:00:31,1021,24649.7,350.826,39.84,55.00,28.65,38.15,0
24/03/2025,20:00:36,1021,24622.0,352.486,39.84,55.00,28.65,38.15,0
24/03/2025,20:00:41,1021,24597.9,360.055,39.84,55.00,28.65,38.15,0
24/03/2025,20:00:46,1021,24576.2,362.316,39.84,55.00,28.65,38.15,0
24/03/2025,20:00:51,1021,24557.6,358.001,39.84,55.00,28.65,38.15,0
24/03/2025,20:00:56,1021,24541.3,354.393,39.84,55.00,28.65,38.15,0
24/03/2025,20:01:01,1021,24525.5,351.504,39.84,55.00,28.64,38.15,0
24/03/2025,20:01:06,1021,24511.5,349.094,39.84,55.00,28.64,38.15,0
24/03/2025,20:01:11,1021,24500.3,347.025,39.84,55.00,28.64,38.15,0
24/03/2025,20:01:16,1021,24489.0,345.200,39.84,55.00,28.64,38.15,0
24/03/2025,20:01:21,1021,24478.6,343.829,39.84,55.00,28.64,38.15,0
24/03/2025,20:01:26,1021,24469.3,342.441,39.84,55.00,28.64,38.15,0
24/03/2025,20:01:31,1021,24459.8,341.511,39.85,55.00,28.64,38.15,0
24/03/2025,20:01:36,1021,24451.9,340.516,39.85,55.00,28.64,38.15,0
24/03/2025,20:01:41,1021,24444.0,339.730,39.85,55.00,28.64,38.15,0
24/03/2025,20:01:46,1021,24436.7,338.985,39.85,55.00,28.65,38.15,0
24/03/2025,20:01:51,1021,24430.7,338.290,39.85,55.00,28.65,38.15,0
24/03/2025,20:01:56,1021,24424.7,337.851,39.85,55.00,28.65,38.15,0
24/03/2025,20:02:01,1021,24418.1,337.433,39.85,55.00,28.65,38.15,0
24/03/2025,20:02:06,1021,24412.7,336.885,39.85,55.00,28.65,38.15,0
24/03/2025,20:02:11,1021,24407.1,336.579,39.85,55.00,28.65,38.15,0
24/03/2025,20:02:16,1021,24402.5,336.237,39.85,55.00,28.65,38.15,0
24/03/2025,20:02:21,1021,24396.8,336.014,39.85,55.00,28.65,38.15,0
24/03/2025,20:02:26,1021,24391.0,335.703,39.85,55.00,28.65,38.15,0
24/03/2025,20:02:31,1021,24388.6,335.518,39.85,55.00,28.65,38.15,0
24/03/2025,20:02:36,1021,24384.4,335.305,39.85,55.00,28.65,38.15,0
24/03/2025,20:02:41,1021,24378.7,335.150,39.85,55.00,28.65,38.15,0
24/03/2025,20:02:46,1021,24377.2,335.049,39.85,55.00,28.65,38.15,0
24/03/2025,20:02:51,1021,24371.3,334.937,39.85,55.00,28.65,38.15,0
24/03/2025,20:02:56,1021,24367.0,334.859,39.85,55.00,28.65,38.15,0
24/03/2025,20:03:01,1021,24366.1,334.695,39.85,55.00,28.65,38.15,0
24/03/2025,20:03:06,1021,24366.4,334.599,39.85,55.00,28.65,38.15,0
24/03/2025,20:03:11,1021,24360.7,334.635,39.85,55.00,28.65,38.15,0
24/03/2025,20:03:16,1021,24357.8,334.538,39.85,55.00,28.65,38.15,0
24/03/2025,20:03:21,1021,24358.7,334.485,39.85,55.00,28.65,38.15,0
24/03/2025,20:03:26,1021,24356.3,334.450,39.85,55.00,28.65,38.15,0
24/03/2025,20:03:31,1021,24351.3,334.489,39.85,55.00,28.65,38.15,0
24/03/2025,20:03:36,1021,24350.6,334.417,39.85,55.00,28.65,38.15,0
24/03/2025,20:03:41,1021,24351.5,334.389,39.85,55.00,28.65,38.15,0
24/03/2025,20:03:46,1021,24348.8,334.396,39.85,55.00,28.65,38.15,0
24/03/2025,20:03:51,1021,24344.7,334.370,39.85,55.00,28.65,38.15,0
24/03/2025,20:03:56,1021,24345.0,334.291,39.85,55.00,28.65,38.15,0
24/03/2025,20:04:01,1021,24344.6,334.202,39.85,55.00,28.65,38.15,0
24/03/2025,20:04:06,1021,24341.4,334.238,39.85,55.00,28.65,38.15,0
24/03/2025,20:04:11,1021,24343.1,334.173,39.85,55.00,28.65,38.15,0
24/03/2025,20:04:16,1021,24341.6,334.101,39.85,55.00,28.65,38.15,0
24/03/2025,20:04:21,1021,24339.8,334.095,39.85,55.00,28.65,38.15,0
24/03/2025,20:04:26,1021,24339.2,334.060,39.85,55.00,28.65,38.15,0
24/03/2025,20:04:31,1021,24337.7,334.139,39.85,55.00,28.65,38.15,0
24/03/2025,20:04:36,1021,24332.6,334.048,39.85,55.00,28.65,38.15,0
24/03/2025,20:04:41,1021,24333.5,334.017,39.85,55.00,28.65,38.15,0
24/03/2025,20:04:46,1021,24332.7,333.968,39.85,55.00,28.65,38.15,0
24/03/2025,20:04:51,1021,24327.7,334.082,39.85,55.00,28.65,38.15,0
24/03/2025,20:04:56,1021,24327.8,333.977,39.85,55.00,28.65,38.15,0
24/03/2025,20:05:01,1021,24324.6,334.022,39.85,55.00,28.65,38.15,0
24/03/2025,20:05:06,1021,24325.1,334.030,39.85,55.00,28.65,38.15,0
24/03/2025,20:05:11,1021,24320.5,334.075,39.85,55.00,28.65,38.15,0
24/03/2025,20:05:16,1021,24319.5,334.097,39.85,55.00,28.65,38.15,0
